title,genres
Natural Born Killers (1994),"['Action', 'Thriller']"
Mrs. Doubtfire (1993),['Comedy']
"Nightmare Before Christmas, The (1993)","[""Children's"", 'Comedy', 'Musical']"
Matilda (1996),"[""Children's"", 'Comedy']"
Dragonheart (1996),"['Action', 'Adventure', 'Fantasy']"
Nick of Time (1995),"['Action', 'Thriller']"
Shall We Dance? (1937),"['Comedy', 'Musical', 'Romance']"
Welcome to the Dollhouse (1995),"['Comedy', 'Drama']"
"Thin Blue Line, The (1988)",['Documentary']
Maximum Risk (1996),"['Action', 'Adventure', 'Thriller']"
"Adventures of Robin Hood, The (1938)","['Action', 'Adventure']"
Lawrence of Arabia (1962),"['Adventure', 'War']"
Striking Distance (1993),['Action']
On Golden Pond (1981),['Drama']
"Third Man, The (1949)","['Mystery', 'Thriller']"
Showgirls (1995),['Drama']
"Net, The (1995)","['Sci-Fi', 'Thriller']"
Cinderella (1950),"['Animation', ""Children's"", 'Musical']"
Amityville: Dollhouse (1996),['Horror']
Breakfast at Tiffany's (1961),"['Drama', 'Romance']"
Searching for Bobby Fischer (1993),['Drama']
Exit to Eden (1994),['Comedy']
"Mask, The (1994)","['Comedy', 'Crime', 'Fantasy']"
Being There (1979),['Comedy']
Escape to Witch Mountain (1975),"['Adventure', ""Children's"", 'Fantasy']"
Phenomenon (1996),"['Drama', 'Romance']"
Blink (1994),['Thriller']
"Wedding Singer, The (1998)","['Comedy', 'Romance']"
Sgt. Bilko (1996),['Comedy']
Maverick (1994),"['Action', 'Comedy', 'Western']"
Sneakers (1992),"['Crime', 'Drama', 'Sci-Fi']"
"Believers, The (1987)","['Horror', 'Thriller']"
Malice (1993),['Thriller']
Major Payne (1994),['Comedy']
Cool Hand Luke (1967),"['Comedy', 'Drama']"
Microcosmos: Le peuple de l'herbe (1996),['Documentary']
Gridlock'd (1997),['Crime']
Eye for an Eye (1996),"['Drama', 'Thriller']"
Extreme Measures (1996),"['Drama', 'Thriller']"
Moll Flanders (1996),['Drama']
"Room with a View, A (1986)","['Drama', 'Romance']"
Everyone Says I Love You (1996),"['Comedy', 'Musical', 'Romance']"
Some Folks Call It a Sling Blade (1993),"['Drama', 'Thriller']"
She's So Lovely (1997),"['Drama', 'Romance']"
Apocalypse Now (1979),"['Drama', 'War']"
Homeward Bound II: Lost in San Francisco (1996),"['Adventure', ""Children's""]"
Star Trek: Generations (1994),"['Action', 'Adventure', 'Sci-Fi']"
Three Colors: Red (1994),['Drama']
Oliver & Company (1988),"['Animation', ""Children's""]"
Son in Law (1993),['Comedy']
"Ghost and the Darkness, The (1996)","['Action', 'Adventure']"
Rocket Man (1997),['Comedy']
Bastard Out of Carolina (1996),['Drama']
Sirens (1994),"['Comedy', 'Drama']"
"Great Dictator, The (1940)",['Comedy']
"Kiss Me, Guido (1997)",['Comedy']
Night of the Living Dead (1968),"['Horror', 'Sci-Fi']"
Charade (1963),"['Comedy', 'Mystery', 'Romance', 'Thriller']"
Hoodlum (1997),"['Crime', 'Drama', 'Film-Noir']"
Bullets Over Broadway (1994),['Comedy']
"Sex, Lies, and Videotape (1989)",['Drama']
Georgia (1995),['Drama']
Bad Boys (1995),['Action']
Benny & Joon (1993),"['Comedy', 'Romance']"
"Ref, The (1994)",['Comedy']
Local Hero (1983),['Comedy']
"Little Princess, A (1995)","[""Children's"", 'Drama']"
I Know What You Did Last Summer (1997),"['Horror', 'Mystery', 'Thriller']"
Breaking the Waves (1996),['Drama']
Last Dance (1996),['Drama']
Looking for Richard (1996),"['Documentary', 'Drama']"
D3: The Mighty Ducks (1996),"[""Children's"", 'Comedy']"
Manhattan (1979),"['Comedy', 'Drama', 'Romance']"
Emma (1996),"['Drama', 'Romance']"
"American in Paris, An (1951)","['Musical', 'Romance']"
Body Snatchers (1993),"['Horror', 'Sci-Fi', 'Thriller']"
"Blue Angel, The (Blaue Engel, Der) (1930)",['Drama']
Wolf (1994),"['Drama', 'Horror']"
My Life and Times With Antonin Artaud (En compagnie d'Antonin Artaud) (1993),['Drama']
Widows' Peak (1994),['Drama']
Addams Family Values (1993),['Comedy']
"Edge, The (1997)","['Adventure', 'Thriller']"
Sphere (1998),"['Adventure', 'Sci-Fi', 'Thriller']"
How to Make an American Quilt (1995),"['Drama', 'Romance']"
Sunset Blvd. (1950),['Film-Noir']
Wallace & Gromit: The Best of Aardman Animation (1996),['Animation']
Rumble in the Bronx (1995),"['Action', 'Adventure', 'Crime']"
Happy Gilmore (1996),['Comedy']
Disclosure (1994),"['Drama', 'Thriller']"
Unstrung Heroes (1995),"['Comedy', 'Drama']"
"Magnificent Seven, The (1954)","['Action', 'Drama', 'Western']"
Jeffrey (1995),['Comedy']
How to Be a Player (1997),['Comedy']
Drop Zone (1994),['Action']
Butch Cassidy and the Sundance Kid (1969),"['Action', 'Comedy', 'Western']"
Sling Blade (1996),"['Drama', 'Thriller']"
Somebody to Love (1994),['Drama']
"Gay Divorcee, The (1934)","['Comedy', 'Musical', 'Romance']"
Captives (1994),['Drama']
Steel (1997),['Action']
Star Trek V: The Final Frontier (1989),"['Action', 'Adventure', 'Sci-Fi']"
Glory (1989),"['Action', 'Drama', 'War']"
As Good As It Gets (1997),"['Comedy', 'Drama']"
Harriet the Spy (1996),"[""Children's"", 'Comedy']"
"Englishman Who Went Up a Hill, But Came Down a Mountain, The (1995)","['Comedy', 'Romance']"
Forget Paris (1995),"['Comedy', 'Romance']"
Children of the Corn: The Gathering (1996),['Horror']
"Day the Earth Stood Still, The (1951)","['Drama', 'Sci-Fi']"
Hearts and Minds (1996),['Drama']
Palookaville (1996),"['Action', 'Drama']"
Manon of the Spring (Manon des sources) (1986),['Drama']
Phat Beach (1996),['Comedy']
"Die xue shuang xiong (Killer, The) (1989)","['Action', 'Thriller']"
Half Baked (1998),['Comedy']
Love! Valour! Compassion! (1997),"['Drama', 'Romance']"
"Crucible, The (1996)",['Drama']
Private Parts (1997),"['Comedy', 'Drama']"
Mixed Nuts (1994),['Comedy']
Casino (1995),['Drama']
"Time to Kill, A (1996)",['Drama']
"Pillow Book, The (1995)","['Drama', 'Romance']"
Harold and Maude (1971),['Comedy']
Crows and Sparrows (1949),['Drama']
Sudden Death (1995),['Action']
Air Force One (1997),"['Action', 'Thriller']"
Dingo (1992),['Drama']
Some Kind of Wonderful (1987),"['Drama', 'Romance']"
Cat People (1982),['Horror']
"Nutty Professor, The (1996)","['Comedy', 'Fantasy', 'Romance', 'Sci-Fi']"
Gandhi (1982),['Drama']
Of Human Bondage (1934),['Drama']
Poetic Justice (1993),['Drama']
"Manchurian Candidate, The (1962)","['Film-Noir', 'Thriller']"
When We Were Kings (1996),['Documentary']
"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",['Drama']
"Transformers: The Movie, The (1986)","['Action', 'Animation', ""Children's"", 'Sci-Fi', 'Thriller', 'War']"
Death and the Maiden (1994),"['Drama', 'Thriller']"
Cold Comfort Farm (1995),['Comedy']
"Postman, The (1997)",['Drama']
Boys on the Side (1995),"['Comedy', 'Drama']"
Jungle2Jungle (1997),"[""Children's"", 'Comedy']"
"Piano, The (1993)","['Drama', 'Romance']"
Don Juan DeMarco (1995),"['Comedy', 'Drama', 'Romance']"
FairyTale: A True Story (1997),"[""Children's"", 'Drama', 'Fantasy']"
Waiting for Guffman (1996),['Comedy']
Paths of Glory (1957),"['Drama', 'War']"
Big Bully (1996),"['Comedy', 'Drama']"
If Lucy Fell (1996),"['Comedy', 'Romance']"
2 Days in the Valley (1996),['Crime']
Six Degrees of Separation (1993),"['Drama', 'Mystery']"
Serial Mom (1994),"['Comedy', 'Crime', 'Horror']"
Total Eclipse (1995),['Drama']
Ma vie en rose (My Life in Pink) (1997),"['Comedy', 'Drama']"
Midnight in the Garden of Good and Evil (1997),"['Comedy', 'Crime', 'Drama', 'Mystery']"
She's the One (1996),"['Comedy', 'Romance']"
Robin Hood: Prince of Thieves (1991),['Drama']
Another Stakeout (1993),"['Comedy', 'Thriller']"
Species (1995),['Sci-Fi']
Selena (1997),"['Drama', 'Musical']"
Cat on a Hot Tin Roof (1958),['Drama']
"Inkwell, The (1994)","['Comedy', 'Drama']"
"Pallbearer, The (1996)",['Comedy']
Cyrano de Bergerac (1990),"['Action', 'Drama', 'Romance']"
Deceiver (1997),['Crime']
Bride of Frankenstein (1935),['Horror']
Much Ado About Nothing (1993),"['Comedy', 'Romance']"
Some Like It Hot (1959),"['Comedy', 'Crime']"
Leaving Las Vegas (1995),"['Drama', 'Romance']"
"Thin Line Between Love and Hate, A (1996)",['Comedy']
Ran (1985),"['Drama', 'War']"
Demolition Man (1993),"['Action', 'Sci-Fi']"
8 1/2 (1963),['Drama']
"Life Less Ordinary, A (1997)","['Romance', 'Thriller']"
Original Gangstas (1996),['Crime']
Diva (1981),"['Action', 'Drama', 'Mystery', 'Romance', 'Thriller']"
What's Love Got to Do with It (1993),['Drama']
"Phantom, The (1996)",['Adventure']
"Paper, The (1994)","['Comedy', 'Drama']"
Batman & Robin (1997),"['Action', 'Adventure', 'Crime']"
Fierce Creatures (1997),['Comedy']
"Murder, My Sweet (1944)","['Film-Noir', 'Thriller']"
Pocahontas (1995),"['Animation', ""Children's"", 'Musical', 'Romance']"
Kalifornia (1993),"['Drama', 'Thriller']"
Poison Ivy II (1995),"['Drama', 'Thriller']"
In the Bleak Midwinter (1995),['Comedy']
"House of Yes, The (1997)","['Comedy', 'Drama', 'Thriller']"
Beyond Rangoon (1995),['Drama']
Mouse Hunt (1997),"[""Children's"", 'Comedy']"
Mrs. Winterbourne (1996),"['Comedy', 'Romance']"
Ace Ventura: When Nature Calls (1995),['Comedy']
"Walk in the Clouds, A (1995)","['Drama', 'Romance']"
Titanic (1997),"['Action', 'Drama', 'Romance']"
Friday (1995),['Comedy']
"Haunted World of Edward D. Wood Jr., The (1995)",['Documentary']
Chungking Express (1994),"['Drama', 'Mystery', 'Romance']"
"Thin Man, The (1934)",['Mystery']
Mad Love (1995),"['Drama', 'Romance']"
Patton (1970),"['Drama', 'War']"
"Aristocats, The (1970)","['Animation', ""Children's""]"
For Love or Money (1993),['Comedy']
Mute Witness (1994),['Thriller']
His Girl Friday (1940),['Comedy']
Raging Bull (1980),['Drama']
McHale's Navy (1997),"['Comedy', 'War']"
Kids (1995),['Drama']
Farewell My Concubine (1993),"['Drama', 'Romance']"
Clerks (1994),['Comedy']
Short Cuts (1993),['Drama']
Career Girls (1997),['Drama']
Kissed (1996),['Romance']
Hackers (1995),"['Action', 'Crime', 'Thriller']"
"Young Poisoner's Handbook, The (1995)",['Crime']
Platoon (1986),"['Drama', 'War']"
Kiss of Death (1995),"['Crime', 'Drama', 'Thriller']"
"Relic, The (1997)",['Horror']
"Program, The (1993)","['Action', 'Drama']"
Oscar & Lucinda (1997),"['Drama', 'Romance']"
Addicted to Love (1997),"['Comedy', 'Romance']"
Tombstone (1993),['Western']
Carrington (1995),"['Drama', 'Romance']"
Murder in the First (1995),"['Drama', 'Thriller']"
Threesome (1994),"['Comedy', 'Romance']"
"Big Sleep, The (1946)","['Film-Noir', 'Mystery']"
Boogie Nights (1997),['Drama']
Grease 2 (1982),"['Comedy', 'Musical', 'Romance']"
"Man Who Would Be King, The (1975)",['Adventure']
"Killing Fields, The (1984)","['Drama', 'War']"
Red Corner (1997),"['Crime', 'Thriller']"
Mr. Jones (1993),"['Drama', 'Romance']"
Johnny Mnemonic (1995),"['Action', 'Sci-Fi', 'Thriller']"
Die Hard 2 (1990),"['Action', 'Thriller']"
"Second Jungle Book: Mowgli & Baloo, The (1997)","['Adventure', ""Children's""]"
"Ruling Class, The (1972)",['Comedy']
"Horse Whisperer, The (1998)",['Drama']
To Gillian on Her 37th Birthday (1996),"['Drama', 'Romance']"
Meet Me in St. Louis (1944),['Musical']
City Slickers II: The Legend of Curly's Gold (1994),"['Comedy', 'Western']"
Before and After (1996),"['Drama', 'Mystery']"
"Band Wagon, The (1953)","['Comedy', 'Musical']"
My Life as a Dog (Mitt liv som hund) (1985),['Drama']
"Crow: City of Angels, The (1996)","['Action', 'Thriller']"
Last Man Standing (1996),"['Action', 'Drama', 'Western']"
Smilla's Sense of Snow (1997),"['Action', 'Drama', 'Thriller']"
Screamers (1995),['Sci-Fi']
Until the End of the World (Bis ans Ende der Welt) (1991),"['Drama', 'Sci-Fi']"
Under Siege 2: Dark Territory (1995),['Action']
High School High (1996),['Comedy']
"Doom Generation, The (1995)","['Comedy', 'Drama']"
All Dogs Go to Heaven 2 (1996),"['Animation', ""Children's"", 'Musical']"
"Amityville Horror, The (1979)",['Horror']
So I Married an Axe Murderer (1993),"['Comedy', 'Romance', 'Thriller']"
"Double vie de Véronique, La (Double Life of Veronique, The) (1991)",['Drama']
"Garden of Finzi-Contini, The (Giardino dei Finzi-Contini, Il) (1970)",['Drama']
James and the Giant Peach (1996),"['Animation', ""Children's"", 'Musical']"
Manny & Lo (1996),['Drama']
"Client, The (1994)","['Drama', 'Mystery', 'Thriller']"
"Great Race, The (1965)","['Comedy', 'Musical']"
Crooklyn (1994),['Comedy']
Man of the Year (1995),['Documentary']
Amos & Andrew (1993),['Comedy']
"Convent, The (Convento, O) (1995)",['Drama']
Mother Night (1996),['Drama']
Foxfire (1996),['Drama']
Meet Wally Sparks (1997),['Comedy']
Cops and Robbersons (1994),['Comedy']
Free Willy 3: The Rescue (1997),"['Adventure', ""Children's"", 'Drama']"
Better Off Dead... (1985),['Comedy']
"39 Steps, The (1935)",['Thriller']
Heavy Metal (1981),"['Action', 'Adventure', 'Animation', 'Horror', 'Sci-Fi']"
"Basketball Diaries, The (1995)",['Drama']
Cemetery Man (Dellamorte Dellamore) (1994),"['Comedy', 'Horror']"
Robin Hood: Men in Tights (1993),['Comedy']
"Rich Man's Wife, The (1996)",['Thriller']
In the Line of Fire (1993),"['Action', 'Thriller']"
Mediterraneo (1991),"['Comedy', 'War']"
"Mark of Zorro, The (1940)",['Adventure']
Wild Bill (1995),['Western']
Braindead (1992),"['Comedy', 'Horror']"
"Wings of the Dove, The (1997)","['Drama', 'Romance', 'Thriller']"
Shallow Grave (1994),['Thriller']
Fear (1996),['Thriller']
Incognito (1997),"['Crime', 'Thriller']"
The Innocent (1994),"['Drama', 'Romance']"
"House of the Spirits, The (1993)","['Drama', 'Romance']"
Stuart Saves His Family (1995),['Comedy']
Event Horizon (1997),"['Action', 'Mystery', 'Sci-Fi', 'Thriller']"
Anna Karenina (1997),"['Drama', 'Romance']"
Winnie the Pooh and the Blustery Day (1968),"['Animation', ""Children's""]"
Private Benjamin (1980),['Comedy']
"Seventh Seal, The (Sjunde inseglet, Det) (1957)",['Drama']
Paradise Lost: The Child Murders at Robin Hood Hills (1996),['Documentary']
"Santa Clause, The (1994)","[""Children's"", 'Comedy']"
Funny Face (1957),"['Comedy', 'Musical']"
Rosencrantz and Guildenstern Are Dead (1990),"['Comedy', 'Drama']"
Don't Be a Menace to South Central While Drinking Your Juice in the Hood (1996),['Comedy']
Washington Square (1997),['Drama']
Zeus and Roxanne (1997),"[""Children's""]"
Jade (1995),['Thriller']
"Perez Family, The (1995)","['Comedy', 'Romance']"
Giant (1956),['Drama']
"Shadow, The (1994)",['Action']
Judgment Night (1993),['Action']
"Love Bug, The (1969)","[""Children's"", 'Comedy']"
Congo (1995),"['Action', 'Adventure', 'Mystery', 'Sci-Fi']"
Boomerang (1992),"['Comedy', 'Romance']"
Ace Ventura: Pet Detective (1994),['Comedy']
"Three Caballeros, The (1945)","['Animation', ""Children's"", 'Musical']"
"Stupids, The (1996)",['Comedy']
Timecop (1994),"['Action', 'Sci-Fi']"
Telling Lies in America (1997),['Drama']
"Replacement Killers, The (1998)","['Action', 'Thriller']"
Inventing the Abbotts (1997),"['Drama', 'Romance']"
"Kid in King Arthur's Court, A (1995)","['Adventure', ""Children's"", 'Comedy', 'Fantasy', 'Romance', 'Sci-Fi']"
Deconstructing Harry (1997),"['Comedy', 'Drama']"
Once Were Warriors (1994),"['Crime', 'Drama']"
Vanya on 42nd Street (1994),['Drama']
Every Other Weekend (1990),['Drama']
First Kid (1996),"[""Children's"", 'Comedy']"
Man of the House (1995),['Comedy']
Ponette (1996),['Drama']
Black Sheep (1996),['Comedy']
Best of the Best 3: No Turning Back (1995),['Action']
Soul Food (1997),['Drama']
Victor/Victoria (1982),"['Comedy', 'Musical']"
Something to Talk About (1995),"['Comedy', 'Drama', 'Romance']"
Jack and Sarah (1995),['Romance']
Things to Do in Denver when You're Dead (1995),"['Crime', 'Drama', 'Romance']"
Cinema Paradiso (1988),"['Comedy', 'Drama', 'Romance']"
Losing Isaiah (1995),['Drama']
Tales from the Crypt Presents: Bordello of Blood (1996),['Horror']
Picnic (1955),['Drama']
G.I. Jane (1997),"['Action', 'Drama', 'War']"
"Frighteners, The (1996)","['Comedy', 'Horror']"
Sleepers (1996),"['Crime', 'Drama']"
In the Company of Men (1997),['Drama']
Crimson Tide (1995),"['Drama', 'Thriller', 'War']"
I Love Trouble (1994),"['Action', 'Comedy']"
My Favorite Year (1982),['Comedy']
To Catch a Thief (1955),"['Comedy', 'Romance', 'Thriller']"
Loch Ness (1995),"['Horror', 'Thriller']"
Jaws 3-D (1983),"['Action', 'Horror']"
Jude (1996),['Drama']
Homage (1995),['Drama']
Daylight (1996),"['Action', 'Adventure', 'Thriller']"
Lone Star (1996),"['Drama', 'Mystery']"
Wyatt Earp (1994),['Western']
"Shaggy Dog, The (1959)","[""Children's"", 'Comedy']"
Freeway (1996),['Crime']
Alice in Wonderland (1951),"['Animation', ""Children's"", 'Musical']"
Hellraiser: Bloodline (1996),"['Action', 'Horror', 'Sci-Fi']"
Ready to Wear (Pret-A-Porter) (1994),['Comedy']
Loaded (1994),"['Drama', 'Thriller']"
Scream 2 (1997),"['Horror', 'Thriller']"
Walkabout (1971),['Drama']
Wes Craven's New Nightmare (1994),['Horror']
All About Eve (1950),['Drama']
Candyman: Farewell to the Flesh (1995),['Horror']
Candyman (1992),['Horror']
"Secret Garden, The (1993)","[""Children's"", 'Drama']"
"Deer Hunter, The (1978)","['Drama', 'War']"
Junior (1994),"['Comedy', 'Sci-Fi']"
"Jackal, The (1997)","['Action', 'Thriller']"
Desperate Measures (1998),"['Crime', 'Drama', 'Thriller']"
April Fool's Day (1986),"['Comedy', 'Horror']"
Beverly Hills Ninja (1997),"['Action', 'Comedy']"
"Baby-Sitters Club, The (1995)","[""Children's""]"
Basic Instinct (1992),"['Mystery', 'Thriller']"
Notorious (1946),"['Film-Noir', 'Romance', 'Thriller']"
Bread and Chocolate (Pane e cioccolata) (1973),['Drama']
No Escape (1994),"['Action', 'Sci-Fi']"
"Beautician and the Beast, The (1997)","['Comedy', 'Romance']"
Escape from New York (1981),"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
Barbarella (1968),"['Adventure', 'Sci-Fi']"
"Daytrippers, The (1996)",['Mystery']
Swept from the Sea (1997),['Romance']
Eddie (1996),['Comedy']
Around the World in 80 Days (1956),"['Adventure', 'Comedy']"
Live Nude Girls (1995),['Comedy']
Window to Paris (1994),['Comedy']
Belle de jour (1967),['Drama']
3 Ninjas: High Noon At Mega Mountain (1998),"['Action', ""Children's""]"
To Live (Huozhe) (1994),['Drama']
"Glimmer Man, The (1996)","['Action', 'Thriller']"
In the Line of Duty 2 (1987),['Action']
Barcelona (1994),"['Comedy', 'Romance']"
Gaslight (1944),"['Mystery', 'Thriller']"
"Big Blue, The (Grand bleu, Le) (1988)","['Adventure', 'Romance']"
Lightning Jack (1994),"['Comedy', 'Western']"
Theodore Rex (1995),['Comedy']
Metisse (Café au Lait) (1993),['Comedy']
Swiss Family Robinson (1960),"['Adventure', ""Children's""]"
"Apartment, The (1960)","['Comedy', 'Drama']"
Kama Sutra: A Tale of Love (1996),['Romance']
Primary Colors (1998),['Drama']
Bananas (1971),"['Comedy', 'War']"
Celtic Pride (1996),['Comedy']
187 (1997),['Drama']
Hard Target (1993),"['Action', 'Adventure', 'Crime', 'Thriller']"
Nadja (1994),['Drama']
Fire Down Below (1997),"['Action', 'Drama', 'Thriller']"
Bird of Prey (1996),['Action']
Immortal Beloved (1994),"['Drama', 'Romance']"
Alaska (1996),"['Adventure', ""Children's""]"
"NeverEnding Story III, The (1994)","[""Children's"", 'Fantasy']"
Feeling Minnesota (1996),"['Drama', 'Romance']"
Hercules (1997),"['Adventure', 'Animation', ""Children's"", 'Comedy', 'Musical']"
Mr. Smith Goes to Washington (1939),['Drama']
"Big Green, The (1995)","[""Children's"", 'Comedy']"
"Quick and the Dead, The (1995)","['Action', 'Adventure', 'Western']"
Touch of Evil (1958),"['Crime', 'Film-Noir', 'Thriller']"
Faster Pussycat! Kill! Kill! (1965),"['Action', 'Comedy', 'Drama']"
"Modern Affair, A (1995)",['Romance']
Eat Drink Man Woman (1994),"['Comedy', 'Drama']"
"Whole Wide World, The (1996)",['Drama']
Money Talks (1997),"['Action', 'Comedy']"
Weekend at Bernie's (1989),['Comedy']
"Cowboy Way, The (1994)","['Action', 'Comedy']"
Up in Smoke (1978),['Comedy']
Gigi (1958),['Musical']
Eve's Bayou (1997),['Drama']
Penny Serenade (1941),"['Drama', 'Romance']"
City of Angels (1998),['Romance']
Billy Madison (1995),['Comedy']
Balto (1995),"['Animation', ""Children's""]"
Playing God (1997),"['Crime', 'Thriller']"
Surviving Picasso (1996),['Drama']
Fresh (1994),['Drama']
Walking and Talking (1996),['Romance']
Gattaca (1997),"['Drama', 'Sci-Fi', 'Thriller']"
Now and Then (1995),['Drama']
"Stars Fell on Henrietta, The (1995)",['Drama']
Mighty Morphin Power Rangers: The Movie (1995),"['Action', ""Children's""]"
"Davy Crockett, King of the Wild Frontier (1955)",['Western']
Rebecca (1940),"['Romance', 'Thriller']"
"Beverly Hillbillies, The (1993)",['Comedy']
Castle Freak (1995),['Horror']
Miami Rhapsody (1995),['Comedy']
Unforgettable (1996),"['Sci-Fi', 'Thriller']"
"Craft, The (1996)","['Drama', 'Horror']"
Radioland Murders (1994),"['Comedy', 'Mystery', 'Romance']"
Rob Roy (1995),"['Drama', 'Romance', 'War']"
Clean Slate (1994),['Comedy']
Hideaway (1995),['Thriller']
Critical Care (1997),['Comedy']
Stealing Beauty (1996),['Drama']
Last Action Hero (1993),"['Action', 'Comedy']"
"Bronx Tale, A (1993)",['Drama']
Thirty-Two Short Films About Glenn Gould (1993),['Documentary']
Manhattan Murder Mystery (1993),"['Comedy', 'Mystery']"
"Treasure of the Sierra Madre, The (1948)",['Adventure']
Drop Dead Fred (1991),"['Comedy', 'Fantasy']"
Robert A. Heinlein's The Puppet Masters (1994),"['Horror', 'Sci-Fi']"
Home Alone 3 (1997),"[""Children's"", 'Comedy']"
Boxing Helena (1993),"['Mystery', 'Romance', 'Thriller']"
Mrs. Parker and the Vicious Circle (1994),['Drama']
Delta of Venus (1994),['Drama']
"Return of Martin Guerre, The (Retour de Martin Guerre, Le) (1982)",['Drama']
Surviving the Game (1994),"['Action', 'Adventure', 'Thriller']"
Safe (1995),['Thriller']
Amateur (1994),"['Crime', 'Drama', 'Thriller']"
Anne Frank Remembered (1995),['Documentary']
"Specialist, The (1994)",['Action']
"Old Lady Who Walked in the Sea, The (Vieille qui marchait dans la mer, La) (1991)",['Comedy']
"Assignment, The (1997)",['Thriller']
Fatal Instinct (1993),['Comedy']
Year of the Horse (1997),['Documentary']
Dark City (1998),"['Film-Noir', 'Sci-Fi', 'Thriller']"
Unzipped (1995),['Documentary']
Air Bud (1997),"[""Children's"", 'Comedy']"
Cobb (1994),['Drama']
Sliver (1993),['Thriller']
"Body Snatcher, The (1945)",['Horror']
Kids in the Hall: Brain Candy (1996),['Comedy']
"Fog, The (1980)",['Horror']
"Doors, The (1991)","['Drama', 'Musical']"
Carlito's Way (1993),"['Crime', 'Drama']"
Female Perversions (1996),['Drama']
Barb Wire (1996),"['Action', 'Sci-Fi']"
Of Love and Shadows (1994),['Drama']
Anaconda (1997),"['Action', 'Adventure', 'Thriller']"
Spanking the Monkey (1994),"['Comedy', 'Drama']"
Star Maps (1997),['Drama']
Philadelphia (1993),['Drama']
Spice World (1997),"['Comedy', 'Musical']"
Bulletproof (1996),['Action']
Nine Months (1995),['Comedy']
Forbidden Planet (1956),['Sci-Fi']
"Air Up There, The (1994)",['Comedy']
Ridicule (1996),['Drama']
Spawn (1997),"['Action', 'Adventure', 'Sci-Fi', 'Thriller']"
"Affair to Remember, An (1957)",['Romance']
Lover's Knot (1996),['Comedy']
"Nosferatu (Nosferatu, eine Symphonie des Grauens) (1922)",['Horror']
Keys to Tulsa (1997),['Crime']
"Christmas Carol, A (1938)",['Drama']
Two Much (1996),"['Comedy', 'Romance']"
I Like It Like That (1994),"['Comedy', 'Drama', 'Romance']"
"Portrait of a Lady, The (1996)",['Drama']
Street Fighter (1994),['Action']
Power 98 (1995),"['Action', 'Mystery', 'Thriller']"
White Squall (1996),"['Adventure', 'Drama']"
Solo (1996),"['Action', 'Sci-Fi', 'Thriller']"
"Arrival, The (1996)","['Action', 'Sci-Fi', 'Thriller']"
Black Beauty (1994),"['Adventure', ""Children's""]"
Prefontaine (1997),['Drama']
Heaven's Prisoners (1996),"['Mystery', 'Thriller']"
"Blob, The (1958)","['Horror', 'Sci-Fi']"
"Jerky Boys, The (1994)","['Action', 'Comedy']"
Blues Brothers 2000 (1998),"['Action', 'Comedy', 'Musical']"
"Scarlet Letter, The (1995)",['Drama']
Highlander III: The Sorcerer (1994),"['Action', 'Sci-Fi']"
"Van, The (1996)","['Comedy', 'Drama']"
My Man Godfrey (1936),['Comedy']
M (1931),"['Crime', 'Film-Noir', 'Thriller']"
Made in America (1993),['Comedy']
"Fox and the Hound, The (1981)","['Animation', ""Children's""]"
Love and Death on Long Island (1997),['Comedy']
"Women, The (1939)",['Comedy']
Feast of July (1995),['Drama']
"Ballad of Narayama, The (Narayama Bushiko) (1958)",['Drama']
Reality Bites (1994),"['Comedy', 'Drama']"
Switchblade Sisters (1975),['Crime']
Night on Earth (1991),"['Comedy', 'Drama']"
Flesh and Bone (1993),"['Drama', 'Mystery', 'Romance']"
Firestorm (1998),"['Action', 'Adventure', 'Thriller']"
Shanghai Triad (Yao a yao yao dao waipo qiao) (1995),['Drama']
"Month by the Lake, A (1995)","['Comedy', 'Drama']"
Rent-a-Kid (1995),['Comedy']
Super Mario Bros. (1993),"['Action', 'Adventure', ""Children's"", 'Sci-Fi']"
Persuasion (1995),['Romance']
"Pyromaniac's Love Story, A (1995)","['Comedy', 'Romance']"
"War Room, The (1993)",['Documentary']
Go Fish (1994),"['Drama', 'Romance']"
"Associate, The (1996)",['Comedy']
Dead Presidents (1995),"['Action', 'Crime', 'Drama']"
Antonia's Line (1995),['Drama']
Virtuosity (1995),"['Sci-Fi', 'Thriller']"
Ruby in Paradise (1993),['Drama']
Top Hat (1935),"['Comedy', 'Musical', 'Romance']"
Stephen King's The Langoliers (1995),['Horror']
"Hate (Haine, La) (1995)",['Drama']
"Simple Wish, A (1997)","[""Children's"", 'Fantasy']"
Nixon (1995),['Drama']
Vegas Vacation (1997),['Comedy']
Four Days in September (1997),['Drama']
Spellbound (1945),"['Mystery', 'Romance', 'Thriller']"
Relative Fear (1994),"['Horror', 'Thriller']"
"Babysitter, The (1995)","['Drama', 'Thriller']"
Out to Sea (1997),['Comedy']
Farinelli: il castrato (1994),"['Drama', 'Musical']"
Brassed Off (1996),"['Comedy', 'Drama', 'Romance']"
American Strays (1996),['Action']
Lord of Illusions (1995),['Horror']
Farmer & Chase (1995),['Comedy']
Little Odessa (1994),['Drama']
Angus (1995),['Comedy']
"Ghost and Mrs. Muir, The (1947)","['Drama', 'Romance']"
Turbulence (1997),['Thriller']
Young Guns II (1990),"['Action', 'Comedy', 'Western']"
Talking About Sex (1994),"['Comedy', 'Drama']"
